2026-06-10 22:44:20 +0200 | etl.extract.get_raw_data | INFO | API request for main successful.
2026-06-10 22:44:20 +0200 | etl.extract.get_raw_data | INFO | Raw data for main saved at data/raw/year=2026/month=06/day=10
2026-06-10 22:44:20 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-06-10 22:44:21 +0200 | etl.extract.get_raw_data | INFO | API request for alt successful.
2026-06-10 22:44:21 +0200 | etl.extract.get_raw_data | INFO | Raw data for alt saved at data/raw/year=2026/month=06/day=10
2026-06-10 22:44:21 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-06-10 22:44:22 +0200 | etl.extract.get_raw_data | INFO | API request for buy_sell successful.
2026-06-10 22:44:22 +0200 | etl.extract.get_raw_data | INFO | Raw data for buy_sell saved at data/raw/year=2026/month=06/day=10
2026-06-10 22:44:22 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-06-10 22:44:23 +0200 | etl.extract.get_raw_data | INFO | API request for gold successful.
2026-06-10 22:44:23 +0200 | etl.extract.get_raw_data | INFO | Raw data for gold saved at data/raw/year=2026/month=06/day=10
2026-06-10 22:44:23 +0200 | etl.transform.raw_to_bronze | INFO | Found 60 files in data/raw
2026-06-10 22:44:23 +0200 | etl.transform.raw_to_bronze | INFO | Bronze layer load finished. Success: 60, Errors: 0
